1024	1024	6232
0	0	1
0	0	1
0	180	9
0	728	8
0	989	10
1	114	9
1	792	10
1	158	2
1	673	2
1	1013	3
2	582	8
2	556	6
2	855	5
2	89	2
2	743	7
2	1018	1
3	1023	8
3	480	7
3	141	4
3	611	8
3	698	9
4	664	5
4	708	10
4	681	9
4	53	1
4	316	6
5	911	7
5	572	8
5	596	1
5	632	2
5	593	4
5	665	3
6	277	5
6	582	10
6	272	8
6	153	1
6	196	7
6	381	10
6	824	7
7	207	8
7	767	8
7	359	10
8	746	10
8	343	8
8	190	7
8	344	3
8	474	2
8	567	7
9	830	8
9	252	9
9	531	2
9	954	10
9	361	6
9	365	5
9	949	8
10	859	9
10	955	4
10	80	7
10	767	6
10	802	3
11	741	9
11	389	3
11	426	4
11	397	7
11	446	2
12	206	10
12	635	4
12	497	4
12	982	1
12	348	7
12	916	4
13	325	8
13	56	2
13	691	7
13	403	10
14	587	2
14	14	4
14	14	4
14	169	2
14	456	5
14	492	6
14	635	1
15	376	9
15	227	3
15	222	4
15	448	7
15	648	6
15	822	1
15	948	6
16	482	8
16	204	2
16	509	2
16	277	6
16	307	8
16	458	3
17	870	1
17	110	9
17	232	7
17	564	7
17	210	2
17	992	1
18	224	5
18	810	9
18	122	8
18	521	9
18	743	1
18	760	10
18	780	2
18	1008	8
19	45	7
19	154	4
19	991	4
19	168	10
20	821	10
20	702	3
20	967	4
20	477	3
20	560	9
21	541	1
21	107	5
21	129	8
21	97	6
21	346	1
21	434	8
21	675	10
22	672	1
22	770	1
22	779	6
22	805	6
22	89	2
22	190	1
22	481	10
22	582	3
23	56	4
23	660	7
23	348	6
23	47	8
23	523	4
23	648	6
23	750	4
23	910	10
24	114	10
24	620	6
24	266	1
25	694	5
25	516	7
25	674	8
25	726	2
25	40	6
25	332	4
25	463	7
25	535	9
25	539	2
25	738	9
25	1016	3
26	643	1
26	287	5
27	847	3
27	309	6
27	420	6
27	746	8
27	200	9
28	633	6
28	524	5
28	164	2
28	724	4
28	275	2
28	485	8
28	659	6
28	837	5
29	926	4
29	408	4
29	600	8
29	443	1
29	723	8
30	745	7
30	852	3
30	699	10
30	291	4
30	66	10
30	924	8
31	270	1
31	134	10
31	822	10
31	516	3
31	646	8
31	871	5
32	954	4
32	59	6
32	799	5
32	937	5
32	197	5
32	985	3
33	763	5
33	548	1
33	961	1
33	79	9
33	735	3
33	936	6
33	961	9
34	570	9
34	583	7
34	485	3
34	222	4
34	366	4
35	1006	4
35	369	9
35	252	2
35	593	9
35	353	5
36	631	1
36	979	10
36	479	9
37	325	3
37	183	1
37	667	4
37	117	1
37	482	6
38	119	5
38	771	2
38	646	1
38	1022	7
39	594	8
39	750	8
39	870	4
39	141	4
39	821	10
39	970	4
39	1001	4
40	777	8
40	723	7
40	736	10
40	25	6
40	421	7
41	845	8
41	121	4
41	516	5
41	483	3
41	60	8
41	333	9
42	673	10
42	540	2
42	741	6
42	934	8
42	227	3
42	334	9
42	379	8
42	790	5
42	925	9
42	995	3
43	446	6
43	259	9
43	45	4
43	563	3
43	967	6
44	475	1
44	987	9
44	945	9
44	424	3
44	581	7
44	650	1
44	891	3
44	998	3
45	19	7
45	776	3
45	43	4
45	84	1
45	581	5
45	611	8
45	647	1
45	700	4
46	681	3
46	267	1
46	152	8
46	178	5
46	473	2
47	23	8
47	187	10
47	91	2
47	946	4
47	419	2
47	449	4
47	467	5
47	758	1
47	849	5
48	641	10
48	903	8
48	507	8
48	466	3
48	783	3
49	197	2
49	776	9
49	87	5
49	163	6
49	361	3
49	683	6
49	971	4
50	405	3
50	90	4
50	563	3
50	920	6
50	992	1
51	363	1
51	415	3
51	565	4
51	360	7
51	425	8
51	499	9
51	748	2
